image,orb_ratio,lightglue_ratio
images-00900.png,0.4118,0.6299
images-00901.png,0.5,0.4553
images-00902.png,1.0,0.6063
images-00903.png,0.5,0.5649
images-00904.png,1.0,0.7658
images-00905.png,0.5,0.5495
images-00906.png,0.8,0.8551
images-00907.png,0.0,0.7453
images-00908.png,0.7273,0.765
images-00910.png,0.4444,0.785
images-00913.png,0.5714,0.6794
images-00915.png,0.625,0.8291
images-00917.png,0.5556,0.7284
images-00918.png,0.6667,0.7762
images-00921.png,0.0,0.6965
images-00923.png,0.5556,0.7362
images-00927.png,0.6667,0.8247
images-00928.png,0.6296,0.8135
images-00929.png,0.4444,0.75
images-00930.png,0.5,0.6422
images-00931.png,0.8333,0.678
images-00932.png,0.8,0.4688
images-00933.png,0.5556,0.5155
images-00934.png,0.5,0.6977
images-00935.png,0.8,0.6667
images-00936.png,0.5,0.6916
images-00937.png,0.6,0.5833
images-00939.png,0.5556,0.759
images-00940.png,0.6364,0.631
images-00941.png,0.625,0.6512
images-00942.png,0.75,0.7926
images-00943.png,0.6667,0.9471
images-00946.png,0.6667,0.5833
images-00947.png,0.0,0.5829
images-00949.png,1.0,0.7217
images-00950.png,1.0,0.7195
